url_length,domain_length,path_length,count_dots,count_hyphen,count_at,count_question,count_equal,count_digits,count_letters,count_special,has_https,has_ip,subdomain_count,keyword_count,label
40,25,7,2,1,0,0,0,2,31,7,1,0,2,0,1
28,19,1,1,2,0,0,0,0,21,7,1,0,1,0,1
34,19,7,2,2,0,0,0,0,26,8,1,0,1,0,1
30,21,1,1,1,0,0,0,0,24,6,1,0,1,0,1
36,21,7,2,1,0,0,0,0,29,7,1,0,1,0,1
59,33,18,2,1,0,0,0,5,45,9,1,0,2,0,1
73,33,26,2,1,0,1,1,6,56,11,1,0,2,0,1
74,33,26,2,1,0,1,1,7,56,11,1,0,2,0,1
238,28,18,2,0,0,1,3,35,191,12,1,0,2,0,1
240,28,18,2,0,0,1,2,36,192,12,1,0,2,0,1
54,32,14,3,2,0,0,0,5,39,10,1,0,2,0,1
34,25,1,2,2,0,0,0,0,26,8,1,0,2,0,1
90,50,4,6,5,1,1,1,3,69,18,1,0,4,0,1
54,32,14,3,2,0,0,0,3,41,10,1,0,2,0,1
51,34,9,3,2,0,0,0,3,39,9,1,0,2,0,1
284,28,56,2,6,0,1,1,41,224,19,0,0,2,0,1
70,12,43,2,0,0,1,1,0,55,15,1,0,2,0,1
76,31,37,2,3,0,0,0,12,54,10,1,0,2,0,1
40,33,0,2,1,0,0,0,10,24,6,0,0,2,0,1
32,23,1,2,1,0,0,0,0,25,7,1,0,2,0,1
46,23,15,3,1,0,0,0,0,37,9,1,0,2,0,1
126,40,79,2,11,0,0,0,10,98,18,0,0,2,0,1
32,25,0,2,2,0,0,0,0,25,7,0,0,2,0,1
33,17,8,1,1,0,0,0,0,26,7,1,0,1,0,1
31,15,8,1,0,0,0,0,0,25,6,1,0,1,0,1
33,17,8,1,0,0,0,0,0,27,6,1,0,1,0,1
39,31,0,2,1,0,0,0,0,33,6,1,0,2,0,1
35,27,0,2,1,0,0,0,6,23,6,1,0,2,0,1
43,35,0,2,1,0,0,0,6,31,6,1,0,2,0,1
37,29,0,2,1,0,0,0,8,23,6,1,0,2,0,1
43,27,8,2,1,0,0,0,0,35,8,1,0,2,0,1
36,20,8,2,0,0,0,0,0,29,7,1,0,2,0,1
34,25,1,3,0,0,0,0,5,22,7,1,0,3,0,1
41,23,10,2,2,0,0,0,0,32,9,1,0,2,0,1
40,23,9,2,2,0,0,0,0,32,8,1,0,2,0,1
43,27,8,2,1,0,0,0,0,35,8,1,0,2,0,1
49,26,15,2,3,0,0,0,0,39,10,1,0,2,0,1
42,27,7,2,1,0,0,0,0,34,8,1,0,2,0,1
41,22,11,2,2,0,0,0,0,32,9,1,0,2,0,1
41,26,7,2,2,0,0,0,0,32,9,1,0,2,0,1
43,35,0,2,1,0,0,0,6,31,6,1,0,2,0,1
41,26,7,2,2,0,0,0,0,32,9,1,0,2,0,1
36,20,8,2,0,0,0,0,0,29,7,1,0,2,0,1
35,27,0,2,1,0,0,0,6,23,6,1,0,2,0,1
